2400,"Hermosa Brach,CA",33.8622366,-118.3995194
2401,"Mather,CA",38.5434594,-121.2783728
2402,"Beverly Hills/ Los Angeles,CA",34.0736204,-118.4003563
2403,Ridgecrest ,35.6224561,-117.6708966
2404,"San Bernardino/Devore,CA",34.2334918,-117.4105251
2405,"Mendota,CA",36.7535611,-120.3815574
2406,"Olema,CA",38.0407566,-122.7880459
2407,Mission Beach ,32.7706526,-117.2514447
2408,"Granda Hills,CA",34.2793576,-118.5021527
2409,"Val Verde/Castaic,CA",34.446247,-118.663643
2410,"Gridley,CA",39.3637773,-121.6935833
2411,"Sierra Nevada Mountains,CA",38.2692123,-119.574224
2412,"Chula Vist,CA",32.6400541,-117.0841955
2413,"Parlier,CA",36.6116174,-119.5270734
2414,"Calexico,CA",32.6789476,-115.4988834
2415,Sierra Nevada ,37.0931959,-3.3952372
2416,San Luis Obispo/Morro Bay ,35.3659445,-120.8499924
2417,Ramona ,33.03763840000001,-116.8765386
2418,"Herald,CA",38.2947578,-121.2455569
2419,"Norwich,CA",42.9876575,-80.5974658
2420,"Bakesrsfield,CA",35.3732921,-119.0187125
2421,"Rowland Heights,CA",33.9761238,-117.9053395
2422,"Lucerne,CA",39.0901708,-122.7963806
2423,"Los Osos,CA",35.3072291,-120.8384093
2424,Brentwood ,34.0521011,-118.4732464
2425,"Sanger,CA",36.708006,-119.5559652
2426,"Graton,CA",38.4363022,-122.8697158
2427,"Lake Isabella,CA",35.6180087,-118.473141
2428,"Isabella,CA",35.6180087,-118.473141
2429,Santa Cruz ,36.9741171,-122.0307963
2430,"Knights Ferry,CA",37.8196499,-120.6721494
2431,"Allendale,CA",38.4446306,-121.943022
2432,"Lee Vining,CA",37.957592,-119.119943
2433,"Hughson,CA",37.6027244,-120.8664811
2434,"Los Angeles County,CA",34.0522265,-118.2436596
2435,"Carlsbad/Leucaida,CA",33.0680967,-117.3033709
2436,Santa Clarita/Palmdale ,34.6172666,-118.2205672
2437,"Lost Hills,CA",35.616349,-119.6942941
2438,"Anaheim/Brea/Diamond Bar,CA",33.9072878,-117.905301
2439,Long Beach ,33.7700504,-118.1937395
2440,Lakewood/South Gate/Lnywood  ,33.9243129,-118.1321852
2441,San Carlos ,37.5071591,-122.2605222
2442,"San Martin,CA",37.0849464,-121.6102216
2443,"San Marino,CA",34.121397,-118.1064585
2444,"Mission Viejo/Lake Forest,CA",33.6251421,-117.6932486
2445,"San Lucas,CA",36.1288547,-121.0204672
2446,"Santa Barbara/Goleta,CA",34.4358294,-119.8276389
2447,Isla Vista ,34.4133292,-119.8609718
2448,"Carpinteria/Santa Barbara,CA",34.39888380000001,-119.5184564
2449,Stanislaus/Calaveras Counties ,38.146111,-120.648056
2450,San Diego area ,27.7639145,-98.2388953
2451,"Mountain House,CA",37.7793901,-121.543234
2452,Burbank ,34.1808392,-118.3089661
2453,"Santa Margarita/Irvine,CA",33.6583807,-117.6519683
2454,"Chicoe,CA",39.7284944,-121.8374777
2455,"Bryson,CA",35.807617,-121.088997
2456,"Monte Nido,CA",34.0808401,-118.6870309
2457,"Rock Creek Lake,CA",37.4577886,-118.7348517
2458,"Hwy 168, Bristle Cone Pine Forrest,CA",37.3856099,-118.1788779
2459,"Irvine/Newport Beach,CA",33.6404672,-117.8966301
2460,Manteca ,37.7974273,-121.2160526
2461,"Mission Viejo/Trabuco Canyon,CA",33.6000232,-117.6719953
2462,"Bodega Bay,CA",38.33325,-123.0480571
2463,"Coalingua,CA",36.139678,-120.3601496
2464,Irvine ,33.6839473,-117.7946942
2465,Tracy ,37.7396513,-121.4252227
2466,Modesto ,37.63909719999999,-120.9968782
2467,Chino Hills ,33.9898188,-117.7325848
2468,"Clovis/Fresno,CA",36.8252277,-119.7029194
2469,"Fountain valley,CA",33.7091847,-117.9536697
2470,"New Castle,CA",38.8736824,-121.1338884
2471,"Grenada,CA",41.6403585,-122.5267629
2472,"Oakhurst,CA",37.3279997,-119.6493154
2473,"Guerneville,CA",38.5018575,-122.9961102
2474,"oceanside,CA",33.1958696,-117.3794834
2476,"China Lake,CA",35.6507888,-117.66173
2477,"Cambria/San Luis Obispo County,CA",35.5641381,-121.0807468
2478,"Pine Valley,CA",32.8214402,-116.5291841
2479,"San Bernadino,CA",34.1083449,-117.2897652
2480,"Saddleback,CA",51.4293802,-116.1843397
2481,"San Juan Bautista,CA",36.8455108,-121.5379974
2482,"Joshua Tree National Park,CA",33.873415,-115.9009923
2483,Shafter VOR ,35.5058367,-119.1913604
2484,"Three Rocks,CA",36.5024507,-120.391548
2485,"San Lorenzo,CA",37.6810422,-122.1244088
2486,"Castroville,CA",36.7619511,-121.7517702
2487,Mulege (Baja California) ,26.8922164,-111.9835831
2488,North Hollywood ,34.187044,-118.3812562
2489,"Boyes Hot Springs,CA",38.3138029,-122.4819253
2490,Half-Moon Bay ,37.4635519,-122.4285862
2491,"San Ramon/Danville,CA",37.8260769,-122.0068698
2492,"Lancaster/Freemont,CA",37.557164,-121.9971946
2493,"Point Reyes,CA",38.017769,-122.9912711
2494,"Evanston,CA",34.0510342,-118.4887311
2495,"Murrieta/Temecula,CA",33.550591,-117.19422
2496,"Cudahy,CA",33.9605701,-118.1853486
2498,"Cerritos/Buena Park area,CA",33.8100564,-118.0042091
2499,"Imperial Desert,CA",32.7375477,-114.9633007
2500,"Santa Rsoa,CA",38.440429,-122.7140548
2501,"Holtville,CA",32.8111612,-115.3802643
2502,"calistoga,CA",38.5787965,-122.5797054
2503,"Joshua Tree Nat\\\\\\'l Park,CA",33.873415,-115.9009923
2504,"Concord/Walnut Creek,CA",37.9805486,-122.057555
2505,"Newport,CA",33.6189101,-117.9289469
