2400,"Hermosa Brach,CA"
2401,"Mather,CA"
2402,"Beverly Hills/ Los Angeles,CA"
2403,Ridgecrest 
2404,"San Bernardino/Devore,CA"
2405,"Mendota,CA"
2406,"Olema,CA"
2407,Mission Beach 
2408,"Granda Hills,CA"
2409,"Val Verde/Castaic,CA"
2410,"Gridley,CA"
2411,"Sierra Nevada Mountains,CA"
2412,"Chula Vist,CA"
2413,"Parlier,CA"
2414,"Calexico,CA"
2415,Sierra Nevada 
2416,San Luis Obispo/Morro Bay 
2417,Ramona 
2418,"Herald,CA"
2419,"Norwich,CA"
2420,"Bakesrsfield,CA"
2421,"Rowland Heights,CA"
2422,"Lucerne,CA"
2423,"Los Osos,CA"
2424,Brentwood 
2425,"Sanger,CA"
2426,"Graton,CA"
2427,"Lake Isabella,CA"
2428,"Isabella,CA"
2429,Santa Cruz 
2430,"Knights Ferry,CA"
2431,"Allendale,CA"
2432,"Lee Vining,CA"
2433,"Hughson,CA"
2434,"Los Angeles County,CA"
2435,"Carlsbad/Leucaida,CA"
2436,Santa Clarita/Palmdale 
2437,"Lost Hills,CA"
2438,"Anaheim/Brea/Diamond Bar,CA"
2439,Long Beach 
2440,Lakewood/South Gate/Lnywood  
2441,San Carlos 
2442,"San Martin,CA"
2443,"San Marino,CA"
2444,"Mission Viejo/Lake Forest,CA"
2445,"San Lucas,CA"
2446,"Santa Barbara/Goleta,CA"
2447,Isla Vista 
2448,"Carpinteria/Santa Barbara,CA"
2449,Stanislaus/Calaveras Counties 
2450,San Diego area 
2451,"Mountain House,CA"
2452,Burbank 
2453,"Santa Margarita/Irvine,CA"
2454,"Chicoe,CA"
2455,"Bryson,CA"
2456,"Monte Nido,CA"
2457,"Rock Creek Lake,CA"
2458,"Hwy 168, Bristle Cone Pine Forrest,CA"
2459,"Irvine/Newport Beach,CA"
2460,Manteca 
2461,"Mission Viejo/Trabuco Canyon,CA"
2462,"Bodega Bay,CA"
2463,"Coalingua,CA"
2464,Irvine 
2465,Tracy 
2466,Modesto 
2467,Chino Hills 
2468,"Clovis/Fresno,CA"
2469,"Fountain valley,CA"
2470,"New Castle,CA"
2471,"Grenada,CA"
2472,"Oakhurst,CA"
2473,"Guerneville,CA"
2474,"oceanside,CA"
2475,"Rural Amador County,CA"
2476,"China Lake,CA"
2477,"Cambria/San Luis Obispo County,CA"
2478,"Pine Valley,CA"
2479,"San Bernadino,CA"
2480,"Saddleback,CA"
2481,"San Juan Bautista,CA"
2482,"Joshua Tree National Park,CA"
2483,Shafter VOR 
2484,"Three Rocks,CA"
2485,"San Lorenzo,CA"
2486,"Castroville,CA"
2487,Mulege (Baja California) 
2488,North Hollywood 
2489,"Boyes Hot Springs,CA"
2490,Half-Moon Bay 
2491,"San Ramon/Danville,CA"
2492,"Lancaster/Freemont,CA"
2493,"Point Reyes,CA"
2494,"Evanston,CA"
2495,"Murrieta/Temecula,CA"
2496,"Cudahy,CA"
2497,Paincines 
2498,"Cerritos/Buena Park area,CA"
2499,"Imperial Desert,CA"
2500,"Santa Rsoa,CA"
2501,"Holtville,CA"
2502,"calistoga,CA"
2503,"Joshua Tree Nat\\\\\\'l Park,CA"
2504,"Concord/Walnut Creek,CA"
2505,"Newport,CA"
2506,"Marina Del Rey/Mar Vista,CA"
2507,"Nine Palms,CA"
2508,"Twenty Nine Palms/Joshua Tree Monument,CA"
2509,"Big Pines,CA"
2510,"San Francisco Bay Area,CA"
2511,"Los Angeles/Long Beach,CA"
2512,San Bernadino Mtns. 
2513,"Moss Landing,CA"
2514,"Ducor,CA"
2515,"Big Oak Valley,CA"
2516,"Lake Barryessa,CA"
2517,"Strawberry,CA"
2518,"Forestville,CA"
2519,"Gonzales,CA"
2520,"Lancster,CA"
2521,New York City 
2522,"Reggae on the River,CA"
2523,Mar Vista 
2524,"North Hollywood/Burbank,CA"
2525,"Desolation Wilderness,CA"
2526,"Alturas,CA"
2527,"Twin Lakes,CA"
2528,Tijuana 
2529,Bishop 
2530,"Granada Hills/Mission Hills,CA"
2531,"Garden Valley,CA"
2532,"Yosemite Valley,CA"
2533,"Antelope Acres,CA"
2534,Colinga 
2535,Kettleman City/Coalinga 
2536,"Los Angels,CA"
2537,"Watts,CA"
2538,"Anza Borrego,CA"
2539,"Rancho San Diego,CA"
2540,"Chula Vista campground parking lot, Mt. Pinos,CA"
2541,Tehachapie 
2542,Bodie 
2543,"Tranquillity,CA"
2544,"Malibu, West,CA"
2545,"Jacumba,CA"
2546,"Wasco,CA"
2547,"Esparto,CA"
2548,"Somes Bar,CA"
2549,"NAS Lemoore,CA"
2550,"San Onofre,CA"
2551,"Anza Borrego State Park,CA"
2552,"Crockett,CA"
2553,"Industry,CA"
2554,"Shingletown,CA"
2555,"Furnace Creek, ca "
2556,"Burlingame,CA"
2557,Ontario 
2558,"Julian,CA"
2559,"Lawdale,CA"
2560,Mammoth Lakes 
2561,Placerville 
2562,"west morland,CA"
2563,"Willow Creek,CA"
2564,"Riverside/Norco,CA"
2565,"Lebec,CA"
2566,"Encinitas/Carlsbad,CA"
2567,"Milligan,CA"
2568,"Rice,CA"
2569,"Agua Dulce,CA"
2570,"Burney,CA"
2571,"Bodie State Park,CA"
2572,Goffs 
2573,Hemet/South Jacinto 
2574,"Palo Alto/San Francisco,CA"
2575,Perris/White Water 
2576,"Marin,CA"
2577,"Edwards AFB,CA"
2578,"Buttonwillow,CA"
2579,"Pinecrest,CA"
2580,Sand Dune Recreational Area 
2581,"West Holloywood,CA"
2582,"Sequoya National Park,CA"
2583,"Hopland,CA"
2584,Pacific Palisades 
2585,Mount Shasta 
2586,Butte Meadows 
2587,"Murphys,CA"
2588,Newport Beach 
2589,San Rafael 
2590,"Pinnacles National Monument,CA"
2591,"San Bernadino County,CA"
2592,"June Lake,CA"
2593,Realto 
2594,Mendota 
2595,Silverlake 
2596,"Trinadad,CA"
2597,"Mojave National Preserve,CA"
2598,"Fresno/ Dinuba,CA"
2599,"Bishop/Mammoth Lakes,CA"
2600,"San Diego/National City,CA"
2601,"Willmington,CA"
2602,"Ricmond,CA"
2603,"Carizzo Plains National Mounument,CA"
2604,"Millville,CA"
2605,"Downieville,CA"
2606,"California,CA"
2607,"Newport Beach/ Laguna Beach,CA"
2608,"San Arden,CA"
2609,"Biggs,CA"
2610,"Fort Smith,CA"
2611,Morgan Hill 
2612,"College City,CA"
2613,Arbuckle/College City 
2614,Malibu 
2615,San Marcos 
2616,Orange 
2617,Oxnard to Yuma 
2618,"Sunol/Pleasanton,CA"
2619,"Hawthorne/Lawndale,CA"
2620,"San Marcos &amp; Escondido,CA"
2621,"Laguna Beach-Newport Beach border,CA"
2622,"Ridgecrest/China Lake,CA"
2623,"Llema,CA"
