9600,"Lake City,MI",44.3352872,-85.2150455
9601,"Fort Gratiot,MI",43.0386178,-82.476888
9602,"Tawas,MI",44.26946119999999,-83.5146973
9603,"Barton City,MI",44.6839498,-83.60604239999999
9604,"Grant,MI",43.3361323,-85.8108819
9605,"Berlin Township,MI",42.0195473,-83.2720082
9606,"Freeland,MI",43.5250265,-84.1227598
9607,"Oak Park,MI",42.4594803,-83.18270509999999
9608,"Ida,MI",41.8786731,-83.57096399999999
9609,"Sister Lakes,MI",42.0722651,-86.19973929999999
9610,"Cutlerville,MI",42.8408621,-85.661658
9611,"Surf City,MI",42.4924727,-83.47125659999999
9612,"Kent City,MI",43.2200235,-85.7511542
9613,"Osseo,MI",41.8844464,-84.5441484
9614,"Unadilla,MI",42.4571439,-84.0801613
9615,"Rochester Hill,MI",42.65836609999999,-83.1499322
9616,"Mears,MI",43.6819514,-86.4197997
9617,"Mt. Clemens,MI",42.5972563,-82.8779754
9618,"Holt,MI",42.6405912,-84.5152545
9619,"Romeo,MI",42.802808,-83.0129874
9620,"Pickney,MI",42.4567013,-83.9463358
9621,"Gregory,MI",42.4583684,-84.0843979
9622,"Temperence,MI",41.7792144,-83.5688244
9623,"Rockford,MI",43.1200272,-85.5600316
9624,"Ft. Gratiot,MI",43.0386178,-82.476888
9625,"Avoca,MI",43.0611363,-82.69157369999999
9626,"Dorr,MI",42.7249602,-85.7051116
9627,"Boyne City,MI",45.2166751,-85.01394189999999
9628,"Millington,MI",43.2814132,-83.5296774
9629,"Grosse Pointe,MI",42.3861485,-82.9118591
9630,L\\\\\\'Anse ,46.7565991,-88.45290849999999
9631,"Hoxeyville,MI",44.193896,-85.7145062
9632,"Stanwood,MI",43.5786366,-85.44920809999999
9633,"Ray,MI",42.743032,-82.92864279999999
9634,"Coleman area,MI",43.754953,-84.582184
9635,"Skidway Lake,MI",44.1833529,-84.03527249999999
9636,"Cross Village,MI",45.6338908,-85.01049250000001
9637,"Lake Superior,MI",47.723087,-86.940716
9638,"Alpena,MI",45.0616794,-83.4327528
9639,"Shavehead Lake,MI",41.844096,-85.86269740000002
9640,"Southgate,MI",42.2139284,-83.19381469999999
9641,"Hamilton,MI",42.671257,-85.9987285
9642,"Pinkney,MI",42.4567013,-83.9463358
9643,"Afton,MI",45.3739015,-84.4966972
9644,"Drummond Island,MI",46.0200211,-83.7311138
9645,"Mass City,MI",46.7638275,-89.0862501
9646,"Feltham,MI",51.4421818,-0.4127936
9647,"Spring Lake/Grand Haven,MI",43.075579,-86.212932
9648,"Vermontville,MI",42.6289247,-85.0241621
9649,"Watervliet/Coloma,MI",42.1861494,-86.30835599999999
9650,"Ovid,MI",43.0058618,-84.3716438
9651,"Saint Clair Shore,MI",42.4974085,-82.89636039999999
9652,"Big Rapids,MI",43.6980782,-85.4836557
9653,"Quincy,MI",41.9442145,-84.8838525
9654,"Nunica,MI",43.0798819,-86.06693349999999
9655,"Selfridge Air National Guard,MI",42.6104595,-82.8317486
9656,"Buchanan,MI",41.8272684,-86.3611248
9657,"Essexville,MI",43.6153004,-83.8419193
9658,"Milford Township,MI",42.5494295,-83.6135572
9659,"Caseville,MI",43.9411253,-83.27134679999999
9660,"Rothbury,MI",43.5072317,-86.3475717
9661,"Jamestown,MI",42.82558239999999,-85.8425336
9662,"Greenville,MI",43.1775314,-85.2527987
9663,"Tipton,MI",42.0168804,-84.0642395
9664,"Edwardsburg,MI",41.79560379999999,-86.08083839999999
9665,"Hamilton area,MI",42.671257,-85.9987285
9666,"Grass Lake,MI",42.2548238,-84.20395429999999
9667,"Hamtramck,MI",42.3928151,-83.0496438
9668,"Armada,MI",42.8441964,-82.8843722
9669,"Haslett,MI",42.74697889999999,-84.40108479999999
9670,"Jenison,MI",42.907248,-85.79197839999999
9671,"Ypslianti,MI",42.2411499,-83.61299389999999
9672,"Iron River,MI",46.0927322,-88.6423544
9673,"Benzie County,MI",44.6458455,-86.03712639999999
9674,"Auburn,MI",43.6033582,-84.0697048
9675,"Boyne Falls,MI",45.168065,-84.9161574
9676,"Canton Township,MI",42.3086444,-83.48211599999999
9677,Centreville ,38.8403909,-77.42887689999999
9678,"Roosevelt,MI",43.1964038,-86.2722804
9679,"Cadillac,MI",44.2519526,-85.40116189999999
9680,"Conklin,MI",43.1286075,-85.8817025
9681,"Clarklake,MI",42.1194078,-84.3213336
9682,"Fostoria,MI",43.25335860000001,-83.37189479999999
9683,"Romulus/New Boston,MI",42.1626843,-83.4027844
9684,"Edmore,MI",43.4080869,-85.0386317
9685,"Otisville,MI",43.1661367,-83.5243976
9686,"Frankort,MI",44.6336096,-86.23453959999999
9687,"Marion,MI",44.1025148,-85.14698349999999
9688,"Morenci,MI",41.7194949,-84.21800259999999
9689,"St. Helen,MI",44.3636378,-84.41032630000001
9690,"New Troy,MI",41.8764326,-86.549743
9691,"Chatham,MI",46.3477228,-86.92903749999999
9692,"Lewiston,MI",44.8839001,-84.30556870000001
9693,"Mainstee,MI",44.2444473,-86.324253
